"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799646";"1004139";"Акуловский проезд";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.87823876, 55.82061549]]]";"{type=Point, coordinates=[37.87823876, 55.82061549]}";
"5107799647";"1004406";"6-й мрк. Новых Химок";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.40710959, 55.89987103]]]";"{type=Point, coordinates=[37.40710959, 55.89987103]}";
"5107799648";"1004187";"Магазин «Верный»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.93475631, 55.7914561]]]";"{type=Point, coordinates=[37.93475631, 55.7914561]}";
"5107799649";"1004080";"4-й Берёзовый пр.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.77170515, 55.59631018]]]";"{type=Point, coordinates=[37.77170515, 55.59631018]}";
"5107799650";"1004507";"По требованию";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.09486016, 56.10615623]]]";"{type=Point, coordinates=[37.09486016, 56.10615623]}";
"5107799651";"1004268";"Ул. Пожарского";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.48320421, 55.89295353]]]";"{type=Point, coordinates=[37.48320421, 55.89295353]}";
"5107799652";"1004618";"Нижнее Льялово";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.23270487, 56.04845604]]]";"{type=Point, coordinates=[37.23270487, 56.04845604]}";
"5107799653";"1004183";"Ул. Строителей";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.85155248, 55.76490295]]]";"{type=Point, coordinates=[37.85155248, 55.76490295]}";
"5107799654";"1004266";"Библиотечная ул.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.47911281, 55.89489647]]]";"{type=Point, coordinates=[37.47911281, 55.89489647]}";
"5107799655";"1004238";"Шоссейная ул.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.87189632, 55.674973]]]";"{type=Point, coordinates=[37.87189632, 55.674973]}";
"5107799656";"1003955";"ЖК «Грюнвальд»";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.39718867, 55.69617653]]]";"{type=Point, coordinates=[37.39718867, 55.69617653]}";
"5107799657";"1003924";"Арка";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86786905, 55.62549396]]]";"{type=Point, coordinates=[37.86786905, 55.62549396]}";
"5107799658";"1004305";"Улица 9 Мая, 3";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.42838265, 55.89014076]]]";"{type=Point, coordinates=[37.42838265, 55.89014076]}";
"5107799659";"1004499";"Школа";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.06541635, 56.13190217]]]";"{type=Point, coordinates=[37.06541635, 56.13190217]}";
"5107799660";"1004606";"Дом № 15";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.22257425, 56.015771]]]";"{type=Point, coordinates=[37.22257425, 56.015771]}";
"5107799661";"1003946";"Улица Воинов-Интернационалистов";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.90187821, 55.69512256]]]";"{type=Point, coordinates=[37.90187821, 55.69512256]}";
"5107799662";"1004172";"Ул. Победы";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84653097, 55.76811292]]]";"{type=Point, coordinates=[37.84653097, 55.76811292]}";
"5107799663";"1003920";"Профилакторий";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.86945829, 55.62931455]]]";"{type=Point, coordinates=[37.86945829, 55.62931455]}";
"5107799664";"1004212";"МЦД Никольское";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.89637194, 55.75991528]]]";"{type=Point, coordinates=[37.89637194, 55.75991528]}";
"5107799665";"1004124";"МЦД Железнодорожная";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[38.00679824, 55.75171071]]]";"{type=Point, coordinates=[38.00679824, 55.75171071]}";
"5107799666";"1004652";"КПП";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.21452983, 56.04231903]]]";"{type=Point, coordinates=[37.21452983, 56.04231903]}";
"5107799667";"1004119";"Граничная ул.";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.98627922, 55.75165789]]]";"{type=Point, coordinates=[37.98627922, 55.75165789]}";
"5107799668";"1004029";"Лопатино";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.6505835, 55.53302937]]]";"{type=Point, coordinates=[37.6505835, 55.53302937]}";
"5107799669";"1004206";"11-я линия";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.89715906, 55.77265917]]]";"{type=Point, coordinates=[37.89715906, 55.77265917]}";
"5107799670";"1003932";"Пл. Святителя Николая";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84172225, 55.62325406]]]";"{type=Point, coordinates=[37.84172225, 55.62325406]}";
"5107799671";"1004341";"Поликлиника";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.34416789, 55.94326697]]]";"{type=Point, coordinates=[37.34416789, 55.94326697]}";
"5107799672";"1003901";"По требованию";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.84791478, 55.65018322]]]";"{type=Point, coordinates=[37.84791478, 55.65018322]}";
